cue_id,start,end,duration,voice_text,internal_mode,primary_asset,asset_state,fallback_asset,editorial_use,visible_mode_badge,reconstruction_context
GW-CUE-133,415.720,419.000,3.280,The report provides no controlled dataset that crosses that gap.,RECONSTRUCTION,GW_EN_FILMIC23_NO_DATASET_EMPTY_LAB_NATIVE.png,empty modern lab,,controlled-data gap,NO,optional 1.5-2.0s at first block entry only
GW-CUE-134,419.460,420.330,0.870,So what survives?,ORIGINAL DOCUMENT,GW_EN_DOC54_SUBJECT_RECAP.png,memorandum subject detail,,authenticity and subject recap,NO,none
GW-CUE-135,420.980,422.210,1.230,The document is authentic.,ORIGINAL DOCUMENT,GW_EN_DOC54_SUBJECT_RECAP.png,memorandum subject detail,,authenticity and subject recap,NO,none
GW-CUE-136,422.580,426.640,4.060,"Its author, date, recipient, and recommendations are visible on the page.",ORIGINAL DOCUMENT,GW_EN_DOC55_AUTHOR_RECAP.png,author detail,,visible author provenance,NO,none
GW-CUE-137,427.300,429.620,2.320,Travel into the Past is there.,ORIGINAL DOCUMENT,GW_EN_DOC56_FOCUS_RECAP_ALT.png,Travel into the Past,,verified Focus claim recap,NO,none
GW-CUE-138,429.660,431.920,2.260,The incomplete ten-digit result is there.,ORIGINAL DOCUMENT,GW_EN_DOC46_DIGIT_RECAP.png,all-ten context,,verified digit result recap,NO,none
GW-CUE-139,432.340,434.400,2.060,The nonphysical intelligences are there.,ORIGINAL DOCUMENT,GW_EN_DOC53_NONCORPOREAL_RECAP.png,non-corporal detail,,verified doctrine recap,NO,none
GW-CUE-140,435.100,439.350,4.250,What is not there is proof that Gateway opened a path outside space or time.,MODEL,GW_EN_CARD_PROOF_BOUNDARY.png,authentic document / unproven claim,,proof boundary,NO,none
GW-CUE-141,440.040,442.760,2.720,The viral claim says the CIA proved it worked.,MODEL,GW_EN_CARD_ARMY_NOT_CIA_RECAP.png,Army written / CIA archived,,viral-claim correction,NO,none
GW-CUE-142,443.140,445.580,2.440,The real document tells a more unsettling story.,ORIGINAL DOCUMENT,GW_EN_DOC47_ARMY_HEADER_RECAP.png,Army header detail,,real document,NO,none
GW-CUE-143,446.000,453.560,7.560,"In 1983, an Army officer borrowed an audio system, a dead inventor's physical model, and a collection of anomalous experiences.",RECONSTRUCTION,GW_EN_CLIP12_THREE_INPUTS_PROGRESS.mp4,audio / Bentov / anomalous reports illuminate in sequence,,three borrowed inputs,NO,optional 1.5-2.0s at first block entry only
GW-CUE-144,454.160,457.600,3.440,Then he built a test plan for observers in three different times.,MODEL,GW_EN_CARD_H_PROTOCOL_RECAP.png,three times / one target,,three-time test recap,NO,none
GW-CUE-145,458.160,459.800,1.640,Was that bureaucratic overreach?,MODEL,GW_EN_CARD_OVERREACH.png,bureaucratic overreach,,closing interpretation one,NO,none
GW-CUE-146,460.180,461.470,1.290,Cold War desperation?,RECONSTRUCTION,GW_EN_FILMIC25_COLD_WAR_DESPERATION_NATIVE.png,Cold War institutional anxiety,,closing interpretation two,NO,optional 1.5-2.0s at first block entry only
GW-CUE-147,461.860,464.660,2.800,Or an unanswered anomaly wrapped in the wrong theory?,INNER / HYPOTHESIS,GW_EN_INNER13_UNANSWERED_ANOMALY_NATIVE.png,unanswered anomaly,,closing interpretation three,NO,none
GW-CUE-148,465.360,467.170,1.810,The report cannot settle that question.,ORIGINAL DOCUMENT,GW_EN_DOC48_CONCLUSION_RECAP.png,conclusion detail,,document cannot decide,NO,none
GW-CUE-149,467.540,472.130,4.590,"But the next experiment removes the visions, the entities, and the military language.",MODEL,GW_EN_CLIP10_ZERO_ONE_HANDOFF.mp4,visions removed; binary test enters,,PEAR handoff,NO,none
GW-CUE-150,472.720,474.820,2.100,It replaces them with zeros and ones.,MODEL,GW_EN_CLIP10_ZERO_ONE_HANDOFF.mp4,visions removed; binary test enters,,PEAR handoff,NO,none
GW-CUE-151,475.480,476.730,1.250,Fourteen million trials.,MODEL,GW_EN_CARD_14M.png,fourteen million trials,,next-episode quantitative hook,NO,none
GW-CUE-152,477.220,480.740,3.520,And one unnamed person responsible for roughly half the effect.,RECONSTRUCTION,GW_EN_FILMIC27_ANONYMOUS_OPERATOR_NATIVE.png,one unnamed operator at apparatus,,next-episode operator hook,NO,optional 1.5-2.0s at first block entry only
