take_id,section,take_start,take_end,cue_id,cue_start,cue_end,timing_method,voice_anchor,primary_visual,asset_spec,resolved_paths,open_editorial_tokens,pace,edit_function,notes,asset_status,voice_stem
EP04A_TAKE_016_DIE_WAHL,S5,384.378,396.22,A043,391.600,396.220,forced_alignment_anchor_0.67,entsteht ... eine Wahl,observer step-back,IMG033,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG033_OBSERVER_STEP_BACK.png,,hold,micro_climax,let thought land,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_016_DIE_WAHL.wav
EP04A_TAKE_017_DIE_NACHRICHT,S6,396.92,413.871,A044,397.260,402.680,forced_alignment_anchor_1.00,Nachricht erscheint,generic phone,IMG034,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG034_PHONE_NAME_ONLY.png,,dense,immediate_hook,unreadable interface,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_017_DIE_NACHRICHT.wav
EP04A_TAKE_017_DIE_NACHRICHT,S6,396.92,413.871,A045,402.680,412.160,forced_alignment_anchor_1.00,Körper ist schneller,body reaction,IMG035,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG035_BODY_REACTION_SEQUENCE_STILL.png,,dense,embodiment,micro SFX,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_017_DIE_NACHRICHT.wav
EP04A_TAKE_017_DIE_NACHRICHT,S6,396.92,413.871,A046,412.160,413.871,forced_alignment_anchor_1.00,formulierst eine Antwort,reply macro,IMG036,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG036_REPLY_FORMING_UNREADABLE.png,,normal,tension,no readable sentence,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_017_DIE_NACHRICHT.wav
EP04A_TAKE_018_ZWEI_SEKUNDEN,S6,414.021,425.77,A047,423.760,425.770,forced_alignment_anchor_1.00,zwei Sekunden lang nichts,hovering thumb,IMG037,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG037_TWO_SECOND_HOVER.png,,hold,pause_payoff,music stops; no countdown,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_018_ZWEI_SEKUNDEN.wav
EP04A_TAKE_019_DER_IMPULS,S6,427.77,439.101,A048,427.860,439.101,forced_alignment_anchor_1.00,Du siehst den Impuls,pullback,IMG038,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG038_RELEASE_PULLBACK.png,,normal,release,space opens,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_019_DER_IMPULS.wav
EP04A_TAKE_020_DAS_SYMBOL,S6,439.301,459.596,A048,439.301,449.448,take_interpolation,Du siehst den Impuls,pullback,IMG038,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG038_RELEASE_PULLBACK.png,,normal,release,space opens,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_020_DAS_SYMBOL.wav
EP04A_TAKE_020_DAS_SYMBOL,S6,439.301,459.596,A049,449.448,459.596,take_interpolation,KARTE oder SPIEGEL,equal CTA card,A-G10,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G10_KARTE_SPIEGEL.png,,hold,interaction,never PROJEKTION,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_020_DAS_SYMBOL.wav
EP04A_TAKE_021_KARTE_ODER_SPIEGEL,S6,459.946,473.878,A049,464.700,472.640,forced_alignment_anchor_1.00,KARTE oder SPIEGEL,equal CTA card,A-G10,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G10_KARTE_SPIEGEL.png,,hold,interaction,never PROJEKTION,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_021_KARTE_ODER_SPIEGEL.wav
EP04A_TAKE_021_KARTE_ODER_SPIEGEL,S6,459.946,473.878,A050,472.640,473.878,forced_alignment_anchor_0.67,Karte ... in Bewegung,paper edge -> real source,RSV07+SHARED_BOOK_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\RESERVE\EP04A_RSV07_PAPER_EDGE_TRANSITION.png,SHARED_BOOK_001,dense,second_turn,source switch,PARTIAL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_021_KARTE_ODER_SPIEGEL.wav
EP04A_TAKE_022_SECHS_ZENTREN,S7,474.628,499.473,A051,478.260,488.700,forced_alignment_anchor_1.00,The Serpent Power von 1919,bibliographic 1919 card + real 1924 scan,A-G11,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G11_1919_1924_QUELLENDISZIPLIN.png,,normal,document_reveal,label actual scan 1924,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_022_SECHS_ZENTREN.wav
EP04A_TAKE_022_SECHS_ZENTREN,S7,474.628,499.473,A052,488.700,491.760,forced_alignment_anchor_1.00,Ṣaṭ-cakra-nirūpaṇa,real source detail,SHARED_BOOK_001,,SHARED_BOOK_001,normal,source_anchor,no fake manuscript,EDITORIAL_SOURCE_OR_MOTION,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_022_SECHS_ZENTREN.wav
EP04A_TAKE_022_SECHS_ZENTREN,S7,474.628,499.473,A053,491.760,499.473,forced_alignment_anchor_1.00,Sechs,SECHS motion,A-G12,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G12_SECHS_SAHASRARA.png,,hold,number_reveal,preserve Sahasrara nuance,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_022_SECHS_ZENTREN.wav
EP04A_TAKE_023_DIE_KARTE_REIST,S7,499.773,532.327,A054,510.300,517.720,forced_alignment_anchor_1.00,spätere westliche Schichten,tracing layers + real assets,IMG040+A-G13,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG040_EMPTY_TRACING_LAYERS.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G13_KARTE_REIST.png,,normal,map_mutation,seams visible,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_023_DIE_KARTE_REIST.wav
EP04A_TAKE_023_DIE_KARTE_REIST,S7,499.773,532.327,A055,517.720,532.327,forced_alignment_anchor_0.50,Karte ... gereist,travel desk / source layers,IMG041,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG041_MAP_TRAVEL_DESK.png,,normal,history_turn,no conspiracy aesthetic,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_023_DIE_KARTE_REIST.wav
EP04A_TAKE_024_ZURUECK_ZU_JUNG,S8,533.077,570.508,A056,533.100,539.960,forced_alignment_anchor_1.00,Zurück zu Jung,real Jung portrait/archive,EP04A_PORTRAIT_003,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\01_ORIGINAL_GREEN\PORTRAITS\EP04A_Jung_portrait_PD.jpg,,reset,return_character,quiet,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_024_ZURUECK_ZU_JUNG.wav
EP04A_TAKE_024_ZURUECK_ZU_JUNG,S8,533.077,570.508,A057,539.960,547.860,forced_alignment_anchor_0.40,Wasser / Feuer / Höhle / Gestalten / Schlange,selective motif reprise,IMG044+IMG043,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG044_INNER_MAP_INTEGRATION.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG043_BLACK_SNAKE_RESIDUE.png,,hold,motif_return,do not introduce new mythology,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_024_ZURUECK_ZU_JUNG.wav
EP04A_TAKE_024_ZURUECK_ZU_JUNG,S8,533.077,570.508,A058,547.860,560.660,forced_alignment_anchor_1.00,fremde symbolische Sprache,map-on-ground conceptual,IMG042,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG042_MAP_ON_REAL_GROUND.png,,normal,integration,map vs terrain,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_024_ZURUECK_ZU_JUNG.wav
EP04A_TAKE_024_ZURUECK_ZU_JUNG,S8,533.077,570.508,A059,560.660,570.508,forced_alignment_anchor_1.00,Vielleicht hat Jung Indien ...,Jung + source layers editorial composite,archive+motion,,ARCHIVE_SELECTION,normal,open_question,no verdict,EDITORIAL_SOURCE_OR_MOTION,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_024_ZURUECK_ZU_JUNG.wav
EP04A_TAKE_025_WAS_BLEIBT,S8,570.808,591.567,A059,584.640,588.740,forced_alignment_anchor_0.25,Vielleicht hat Jung Indien ...,Jung + source layers editorial composite,archive+motion,,ARCHIVE_SELECTION,normal,open_question,no verdict,EDITORIAL_SOURCE_OR_MOTION,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_025_WAS_BLEIBT.wav
EP04A_TAKE_025_WAS_BLEIBT,S8,570.808,591.567,A060,588.740,591.567,forced_alignment_anchor_1.00,"warnte, weil er ihnen zu viel zutraute",snake residue,IMG043,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG043_BLACK_SNAKE_RESIDUE.png,,hold,emotional_close,no Kundalini label,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_025_WAS_BLEIBT.wav
EP04A_TAKE_026_PAULI,S8,592.367,611.036,A061,596.500,609.080,forced_alignment_anchor_1.00,Wolfgang Pauli,authentic Pauli archive + clean name card,archive+A-G14,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04A\A-G14_PAULI_HANDOFF.png,,dense,next_domain_reveal,no quantum particles,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_026_PAULI.wav
EP04A_TAKE_026_PAULI,S8,592.367,611.036,A062,609.080,611.036,forced_alignment_anchor_1.00,Zufall wird zum nächsten Problem,black / minimal structural line,edit,,,hold,end_hook,last spoken line; no 'next episode' phrase,EDITORIAL_SOURCE_OR_MOTION,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_026_PAULI.wav
