shot_id,start,end,duration,paragraphs,act,mode,picture_function_class,exact_voice,positive_claim_or_function,open_question_or_theory,primary_asset,visual_direction,card_text,sfx_function,source_anchor,self_contradiction_check
EP05_SHOT_053,298.120,303.260,5.140,73-74,VIEWER_DECISION,RECONSTRUCTION,SUPERNATURAL/EXPERIENCE,"PRESSURE, SOUND, or PRESENCE. And if this has happened to you, tell us which came first.","new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",modal/open where voiced; no extra disclaimer,EP05_VIEWER_DECISION_053,"new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",PRESSURE / SOUND / PRESENCE,"one distinct restrained signature for pressure, sound and presence",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_054,303.940,309.620,5.680,75-76,VIEWER_DECISION,RECONSTRUCTION,SUPERNATURAL/EXPERIENCE,"Because for some people, the presence arrives before the image. That may be the strangest part of all.","new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",modal/open where voiced; no extra disclaimer,EP05_VIEWER_DECISION_054,"new viewer bedroom: closed door, failed arm, two steps and occupied negative space; never replay hook frames",,"one distinct restrained signature for pressure, sound and presence",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_055,310.300,315.700,5.400,77-78,AGENCY_MODEL,INNER / HYPOTHESIS,MECHANISM/AHA,One plausible explanation begins with alarm. You are conscious enough to know that something is wrong.,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",modal/open where voiced; no extra disclaimer,EP05_AGENCY_MODEL_055,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",,small room sounds bind into rhythm; music remains unresolved,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_056,316.480,321.540,5.060,79-81,AGENCY_MODEL,INNER / HYPOTHESIS,MECHANISM/AHA,You cannot move. Your breathing feels unfamiliar. Yet there is no visible cause.,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",modal/open where voiced; no extra disclaimer,EP05_AGENCY_MODEL_056,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",,small room sounds bind into rhythm; music remains unresolved,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_057,322.250,329.540,7.290,82-83,AGENCY_MODEL,INNER / HYPOTHESIS,MECHANISM/AHA,"The mind is left with danger, but no source for it. In that condition, a perceptual system may begin searching for an agent.","room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",modal/open where voiced; no extra disclaimer,EP05_AGENCY_MODEL_057,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",DANGER / WITHOUT A SOURCE,small room sounds bind into rhythm; music remains unresolved,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_058,330.180,335.440,5.260,84-85,AGENCY_MODEL,INNER / HYPOTHESIS,MECHANISM/AHA,A small sound gains the rhythm of a footstep. A coat and a doorway align into a shoulder.,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",modal/open where voiced; no extra disclaimer,EP05_AGENCY_MODEL_058,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",,small room sounds bind into rhythm; music remains unresolved,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_059,336.300,342.660,6.360,86-87,AGENCY_MODEL,INNER / HYPOTHESIS,MECHANISM/AHA,"Pressure gains direction, then weight, then intention. The brain does not merely record a room.","room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",modal/open where voiced; no extra disclaimer,EP05_AGENCY_MODEL_059,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",,small room sounds bind into rhythm; music remains unresolved,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_060,342.700,348.230,5.530,88-89,AGENCY_MODEL,INNER / HYPOTHESIS,MECHANISM/AHA,"It continuously predicts what the room contains. Under fear and incomplete information,","room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",modal/open where voiced; no extra disclaimer,EP05_AGENCY_MODEL_060,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",,small room sounds bind into rhythm; music remains unresolved,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_061,348.620,355.400,6.780,89-90,AGENCY_MODEL,INNER / HYPOTHESIS,MECHANISM/AHA,those predictions can become intensely specific. This offers a route by which ambiguity may acquire a body.,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",modal/open where voiced; no extra disclaimer,EP05_AGENCY_MODEL_061,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",,small room sounds bind into rhythm; music remains unresolved,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_062,356.040,361.960,5.920,91-92,AGENCY_MODEL,INNER / HYPOTHESIS,MECHANISM/AHA,But it leaves a more intimate question untouched. Why do some people feel watched before they see anything at all?,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",modal/open where voiced; no extra disclaimer,EP05_AGENCY_MODEL_062,"room-specific ambiguity progressively gains rhythm, direction, weight and incomplete agency without becoming a monster",,small room sounds bind into rhythm; music remains unresolved,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_063,362.720,367.950,5.230,93-95,PRESENCE_BEFORE_FORM,INNER / HYPOTHESIS,SUPERNATURAL/EXPERIENCE,"In some accounts, there is no face. No outline. Sometimes there is not even a sound.",presence before form: controlled negative space and peripheral deformation precede any incomplete outline,modal/open where voiced; no extra disclaimer,EP05_PRESENCE_BEFORE_FORM_063,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,PRESENCE / BEFORE FORM,"near-silence, breath and one directional proximity shift",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_064,368.680,373.250,4.570,96-97,PRESENCE_BEFORE_FORM,INNER / HYPOTHESIS,SUPERNATURAL/EXPERIENCE,"There is only the certainty that another awareness is in the room. It is waiting,",presence before form: controlled negative space and peripheral deformation precede any incomplete outline,modal/open where voiced; no extra disclaimer,EP05_PRESENCE_BEFORE_FORM_064,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,PRESENCE / BEFORE FORM,"near-silence, breath and one directional proximity shift",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_065,373.500,377.300,3.800,97-98,PRESENCE_BEFORE_FORM,INNER / HYPOTHESIS,SUPERNATURAL/EXPERIENCE,"observing, or moving closer. The figure may appear later,",presence before form: controlled negative space and peripheral deformation precede any incomplete outline,modal/open where voiced; no extra disclaimer,EP05_PRESENCE_BEFORE_FORM_065,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,,"near-silence, breath and one directional proximity shift",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_066,377.680,381.700,4.020,98-98,PRESENCE_BEFORE_FORM,INNER / HYPOTHESIS,SUPERNATURAL/EXPERIENCE,almost as if the mind is giving shape to something it already believes is there.,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,modal/open where voiced; no extra disclaimer,EP05_PRESENCE_BEFORE_FORM_066,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,,"near-silence, breath and one directional proximity shift",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_067,382.320,389.730,7.410,99-100,PRESENCE_BEFORE_FORM,INNER / HYPOTHESIS,MECHANISM/AHA,Research can classify the pattern and test mechanisms behind it. But it cannot inhabit every subjective second of the experience.,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,modal/open where voiced; no extra disclaimer,EP05_PRESENCE_BEFORE_FORM_067,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,,"near-silence, breath and one directional proximity shift",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_068,390.500,395.240,4.740,101-101,PRESENCE_BEFORE_FORM,INNER / HYPOTHESIS,MECHANISM/AHA,That may be why sleep paralysis never remained only a sleep disorder.,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,modal/open where voiced; no extra disclaimer,EP05_PRESENCE_BEFORE_FORM_068,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,,"near-silence, breath and one directional proximity shift",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_069,395.300,402.720,7.420,102-104,PRESENCE_BEFORE_FORM,INNER / HYPOTHESIS,HISTORICAL/FOLKLORE,An invisible cause receives a name. The name becomes a story. The story changes what the next person expects to meet.,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,modal/open where voiced; no extra disclaimer,EP05_PRESENCE_BEFORE_FORM_069,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,,"near-silence, breath and one directional proximity shift",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_070,403.380,405.580,2.200,105-105,PRESENCE_BEFORE_FORM,INNER / HYPOTHESIS,HISTORICAL/FOLKLORE,And then the encounter feeds the story again.,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,modal/open where voiced; no extra disclaimer,EP05_PRESENCE_BEFORE_FORM_070,presence before form: controlled negative space and peripheral deformation precede any incomplete outline,,"near-silence, breath and one directional proximity shift",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_071,406.240,411.960,5.720,106-107,HUFFORD_CALLBACK,EXPLANATORY MODEL,REALITY ANCHOR,So return to Hufford's original problem. His body may have been caught between REM sleep and waking.,new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,modal/open where voiced; no extra disclaimer,EP05_HUFFORD_CALLBACK_071,new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,,"earlier footstep motif transformed through paper and room acoustics, never replayed",Hufford first-person publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_072,412.750,420.640,7.890,108-109,HUFFORD_CALLBACK,EXPLANATORY MODEL,REALITY ANCHOR,That explains why he could not move. The Old Hag tradition may have supplied a cultural form for similar experiences in Newfoundland.,new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,modal/open where voiced; no extra disclaimer,EP05_HUFFORD_CALLBACK_072,new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,,"earlier footstep motif transformed through paper and room acoustics, never replayed",Hufford first-person publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_073,421.720,426.860,5.140,110-110,HUFFORD_CALLBACK,EXPLANATORY MODEL,REALITY ANCHOR,But Hufford's question survives because he said he encountered the pattern before he encountered its name.,new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,modal/open where voiced; no extra disclaimer,EP05_HUFFORD_CALLBACK_073,new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,,"earlier footstep motif transformed through paper and room acoustics, never replayed",Hufford first-person publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_074,427.700,432.320,4.620,111-112,HUFFORD_CALLBACK,EXPLANATORY MODEL,MECHANISM/AHA,"What if folklore does not merely invent beings? What if, at least sometimes,",new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,modal/open where voiced; no extra disclaimer,EP05_HUFFORD_CALLBACK_074,new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,BODY / EXPERIENCE / STORY / EXPECTATION,"earlier footstep motif transformed through paper and room acoustics, never replayed",Hufford first-person publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_075,432.600,437.500,4.900,112-112,HUFFORD_CALLBACK,EXPLANATORY MODEL,MECHANISM/AHA,"it preserves the recurring shape of an experience: an experience produced where body,",new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,modal/open where voiced; no extra disclaimer,EP05_HUFFORD_CALLBACK_075,new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,,"earlier footstep motif transformed through paper and room acoustics, never replayed",Hufford first-person publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_076,437.800,444.400,6.600,112-114,HUFFORD_CALLBACK,EXPLANATORY MODEL,MECHANISM/AHA,"perception, and expectation meet? The physiology opens the door. Culture gives the darkness a face.",new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,modal/open where voiced; no extra disclaimer,EP05_HUFFORD_CALLBACK_076,new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,,"earlier footstep motif transformed through paper and room acoustics, never replayed",Hufford first-person publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_077,444.820,448.400,3.580,115-115,HUFFORD_CALLBACK,EXPLANATORY MODEL,TRANSITION/REVEAL,"And once that face exists, it may enter the next person's night.",new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,modal/open where voiced; no extra disclaimer,EP05_HUFFORD_CALLBACK_077,new Hufford source state and a forward-only body -> experience -> story -> expectation feedback model,,"earlier footstep motif transformed through paper and room acoustics, never replayed",Hufford first-person publication,PASS - image/card/SFX preserve voice strength
EP05_SHOT_078,449.440,452.880,3.440,116-116,SALEM_HANDOFF,ORIGINAL DOCUMENT,TRANSITION/REVEAL,"In 1692, a private night entered the public record.","original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",modal/open where voiced; no extra disclaimer,EP05_SALEM_HANDOFF_078,"original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",PRIVATE NIGHT / PUBLIC EVIDENCE,"bedroom room tone becomes paper, pen and courtroom air; no guilt sting",UVA Salem archive / Massachusetts record reference,PASS - image/card/SFX preserve voice strength
EP05_SHOT_079,453.560,458.780,5.220,117-117,SALEM_HANDOFF,ORIGINAL DOCUMENT,HISTORICAL/FOLKLORE,"A witness in Salem later described a woman entering a locked room, pressing onto his chest,","original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",modal/open where voiced; no extra disclaimer,EP05_SALEM_HANDOFF_079,"original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",,"bedroom room tone becomes paper, pen and courtroom air; no guilt sting",UVA Salem archive / Massachusetts record reference,PASS - image/card/SFX preserve voice strength
EP05_SHOT_080,459.120,466.480,7.360,117-119,SALEM_HANDOFF,ORIGINAL DOCUMENT,HISTORICAL/FOLKLORE,and leaving him unable to speak or move. Her name was Bridget Bishop. The experience became part of the case against her.,"original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",modal/open where voiced; no extra disclaimer,EP05_SALEM_HANDOFF_080,"original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",,"bedroom room tone becomes paper, pen and courtroom air; no guilt sting",UVA Salem archive / Massachusetts record reference,PASS - image/card/SFX preserve voice strength
EP05_SHOT_081,467.140,471.840,4.700,120-121,SALEM_HANDOFF,ORIGINAL DOCUMENT,HISTORICAL/FOLKLORE,"In June, she was tried, convicted, and hanged for witchcraft. In Part Two,","original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",modal/open where voiced; no extra disclaimer,EP05_SALEM_HANDOFF_081,"original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",,"bedroom room tone becomes paper, pen and courtroom air; no guilt sting",UVA Salem archive / Massachusetts record reference,PASS - image/card/SFX preserve voice strength
EP05_SHOT_082,472.140,480.900,8.760,121-121,SALEM_HANDOFF,ORIGINAL DOCUMENT,HUMAN EMOTION,we follow the visitor from the bedroom into the courtroom and ask what happens when an experience no one else can see becomes evidence against another human being.,"original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",modal/open where voiced; no extra disclaimer,EP05_SALEM_HANDOFF_082,"original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",,"bedroom room tone becomes paper, pen and courtroom air; no guilt sting",UVA Salem archive / Massachusetts record reference,PASS - image/card/SFX preserve voice strength
EP05_SHOT_083,481.620,486.760,5.140,122-123,SALEM_HANDOFF,ORIGINAL DOCUMENT,HUMAN EMOTION,"Subscribe if you want to continue that trail. And before you leave: PRESSURE, SOUND,","original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",modal/open where voiced; no extra disclaimer,EP05_SALEM_HANDOFF_083,"original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",,"bedroom room tone becomes paper, pen and courtroom air; no guilt sting",UVA Salem archive / Massachusetts record reference,PASS - image/card/SFX preserve voice strength
EP05_SHOT_084,486.840,492.920,6.080,123-125,SALEM_HANDOFF,ORIGINAL DOCUMENT,HUMAN EMOTION,or PRESENCE. Which would convince you first? The body wakes. The story keeps moving.,"original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",modal/open where voiced; no extra disclaimer,EP05_SALEM_HANDOFF_084,"original Richard Coman testimony context, Bridget Bishop historical source anchor and bedroom-to-courtroom consequence",,"bedroom room tone becomes paper, pen and courtroom air; no guilt sting",UVA Salem archive / Massachusetts record reference,PASS - image/card/SFX preserve voice strength
