start,end,duration,asset,function,mode,palette,source_in,edit_id
362.72,368.68,5.96,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_PRESENCE_BEFORE_FORM.png,"no face, outline or sound",motion,NOCTURNAL,0.0,EP05_EDIT_081
368.68,373.5,4.82,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_PRESENCE_DIRECTED_PROXIMITY.png,certainty of another awareness,motion,NOCTURNAL,0.0,EP05_EDIT_082
373.5,377.68,4.18,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_PRESENCE_FORMING.png,observer reacts before the figure resolves,motion,NOCTURNAL,0.0,EP05_EDIT_083
377.68,382.32,4.64,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CLIPS\REUSED_GERMAN_30FPS\CLIP004_FEEDBACK_ENTITY.mp4,belief and form feed one another,clip,NOCTURNAL,0.0,EP05_EDIT_084
382.32,389.73,7.41,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_CHEYNE_RESEARCH_LIMIT.png,research classifies without inhabiting the subjective second,reading,ARCHIVE,0.0,EP05_EDIT_085
389.73,395.3,5.57,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_FUSELI_NIGHTMARE.jpg,the pattern exceeds a clinical label,reading,ARCHIVE,0.0,EP05_EDIT_086
395.3,397.35,2.05,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_FEEDBACK_01_BODY.png,an invisible cause begins in the body,reading,EXPLANATION,0.0,EP05_EDIT_087
397.35,399.45,2.1,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_FEEDBACK_02_EXPERIENCE.png,the body becomes an experience,reading,EXPLANATION,0.0,EP05_EDIT_088
399.45,402.72,3.27,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_FEEDBACK_03_STORY.png,the name becomes a story,reading,EXPLANATION,0.0,EP05_EDIT_089
402.72,406.24,3.52,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_FEEDBACK_04_EXPECTATION.png,story changes the next expectation,reading,EXPLANATION,0.0,EP05_EDIT_090
406.24,412.75,6.51,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_HUFFORD_CALLBACK.png,return to Hufford through a new published source state,reading,ARCHIVE,0.0,EP05_EDIT_091
412.75,421.72,8.97,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_PSG_CONNECTIONS.jpg,physiology explains immobility while culture may supply form,motion,SCIENCE,0.0,EP05_EDIT_092
421.72,427.7,5.98,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_FOGO_ROAD_TILTING.jpg,pattern-before-name question returns to the lived place,motion,FOGO,0.0,EP05_EDIT_093
427.7,432.6,4.9,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\IMG024_NIGHTMARE_PRINT_WORKSHOP.png,folklore may preserve a recurring shape through material culture,motion,ARCHIVE,0.0,EP05_EDIT_094
432.6,437.8,5.2,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_NACHTMAHR_ABILDGAARD.jpg,recurring experience acquires cultural form,reading,ARCHIVE,0.0,EP05_EDIT_095
437.8,444.82,7.02,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_SALEM_BEDROOM_TO_RECORD.png,"body, perception and expectation become a public-facing story",motion,SALEM,0.0,EP05_EDIT_096
444.82,449.44,4.62,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CLIPS\REUSED_GERMAN_30FPS\CLIP003_SALEM_PUBLIC_TRANSFORMATION.mp4,bedroom material transforms into public consequence,clip,SALEM,0.0,EP05_EDIT_097
449.44,453.56,4.12,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_SALEM_01_RECORD.png,private night enters public record,reading,SALEM,0.0,EP05_EDIT_098
453.56,459.12,5.56,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_SALEM_02_PRESSURE.png,locked room and chest pressure in testimony,reading,SALEM,0.0,EP05_EDIT_099
459.12,462.3,3.18,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_SALEM_03_SPEECH.png,unable to speak or stir,reading,SALEM,0.0,EP05_EDIT_100
462.3,466.48,4.18,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_SALEM_04_BISHOP.png,Bridget Bishop is authentically named,reading,SALEM,0.0,EP05_EDIT_101
466.48,471.84,5.36,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_BISHOP_EXECUTION_RECORD.png,"trial, conviction and execution record",reading,SALEM,0.0,EP05_EDIT_102
471.84,476.25,4.41,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_SALEM_COURTROOM_1876.jpg,private vision becomes a social proceeding,motion,SALEM,0.0,EP05_EDIT_103
476.25,481.62,5.37,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_SALEM_SOCIAL_CONSEQUENCE.png,faces carry the cost of invisible evidence,motion,SALEM,0.0,EP05_EDIT_104
481.62,486.84,5.22,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_BRIDGET_BISHOP_LITHO.jpg,Part Two trail and authentic historical anchor,reading,SALEM,0.0,EP05_EDIT_105
486.84,487.32,0.48,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\SHOT08_DAWN_AFTER_PARALYSIS.png,first light answers the final viewer question,motion,DAWN,0.0,EP05_EDIT_106
487.32,493.25,5.93,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CLIPS\REUSED_GERMAN_30FPS\CLIP004_DAWN_AFTER_PARALYSIS.mp4,the body wakes and the story keeps moving,clip,DAWN,0.0,EP05_EDIT_107
