cue_id,act,take_id,voice_anchor,visual_class,visual_asset,base_asset_or_build,asset_status,target_seconds,movement_rule,sfx_cue,edit_note
V098,S6,EP08_TAKE_019,Muster oder Meme,M,CARDS/CARD007_CTA_MUSTER_MEME.png,CARDS/CARD007_CTA_MUSTER_MEME.png,READY,6.0,STATIC_HOLD; absolutely no camera movement,—,sieben Sekunden statisch; keinerlei Bewegung
V099,S6,EP08_TAKE_019,morgen sucht ihr danach,R,IMG024_SEARCH_AFTER_EXPERIENCE.png,IMG024_SEARCH_AFTER_EXPERIENCE.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_CRT_ROOM,
V100,S6,EP08_TAKE_019,tausend ähnliche Geschichten,O,SRC_MISSING_WEB_ARCHIVE_RESULTS_FULL.png,SOURCE_ACQUISITION_WEB_ARCHIVE_RESULTS,SOURCE_ACQUISITION,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_FORUM_UI,"datierte, redigierte Archivansicht"
V101,S6,EP08_TAKE_019,sucht ihr danach,M,EDIT017_SEARCH_SEQUENCE,IMG024+SRC_MISSING_WEB_ARCHIVE_RESULTS_FULL,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,
V102,S6,EP08_TAKE_020,neurologisches Muster,R,CUT016_IMG007_GEOMETRIC_ICON.png,IMG007_NAME_STABILIZES_SHAPE.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V103,S6,EP08_TAKE_020,kulturelle Vorlage,O,SRC031_PIPPIN_MODEM_FULL.png,EP08_Bandai_Apple_Pippin_Modem.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V104,S6,EP08_TAKE_020,beides fast gleich,R,IMG033_CULTURAL_TEMPLATE_PRELOAD.png,IMG033_CULTURAL_TEMPLATE_PRELOAD.png,GENERATION_REQUIRED,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V105,S6,EP08_TAKE_020,Muster und Meme,M,EDIT018_PATTERN_MEME_EQUAL_SPLIT,IMG023+IMG021,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",—,"gleichwertige Spalten, kein Sieger"
V106,S6,EP08_TAKE_020,beide Prozesse zusammenlaufen,O,SRC032_MODEM_PCB_DETAIL.png,EP08_9_6k_Modem_PCB.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V107,S6,EP08_TAKE_020,ehrliche Übereinstimmung,R,CUT018_IMG024_RESULT_TILES.png,IMG024_SEARCH_AFTER_EXPERIENCE.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V108,S6,EP08_TAKE_020,wo der Körper endet,M,EDIT019_BODY_STORY_THRESHOLD,IMG008+IMG026,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_SHADOW_ROOMTONE,
V109,S6,EP08_TAKE_020,Geschichte beginnt,O,SRC033_ROTARY_PHONE_DETAIL.png,EP08_Rotary_Dial_Telephone.svg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,
V110,S6,EP08_TAKE_020,Prozesse zusammenlaufen,R,CUT019_IMG022_HAT_INPUT.png,IMG022_INTERNET_SUPPLIES_HAT.png,READY_SEMANTIC_CUT,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V111,S6,EP08_TAKE_020,Internet wird Teil,M,EDIT020_FEEDBACK_PREVIEW,IMG022+IMG026,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,
V112,S6,EP08_TAKE_020,von außen fast gleich,O,SRC034_SCHNEIDER_MONITOR_FULL.png,EP08_Schneider_MM12_Monochrome_Monitor.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V113,S6,EP08_TAKE_020,wo der Körper endet,R,CUT020_SHOT07_WINDOW_GRID.png,SHOT07_MULTIPLE_BLANK_FORUM_WINDOWS.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V114,S6,EP08_TAKE_020,Teil des Experiments,M,EDIT021_SIX_LAYER_LOOP_SETUP,SRC034+IMG022+IMG026,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,
V115,S6,EP08_TAKE_020,das Netz,O,SRC035_GENERIC_MODEM_DETAIL.png,EP08_Generic_Modem.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V116,S7,EP08_TAKE_021,zweitausendfünfzehn,O,SRC_MISSING_NIGHTMARE_LICENSED_KEYART.png,SOURCE_ACQUISITION_THE_NIGHTMARE_LICENSE,SOURCE_ACQUISITION,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,nur mit geklärter Nutzung; sonst neutrale Quellenkarte
V117,S7,EP08_TAKE_021,Rodney Ascher,O,SRC_MISSING_NIGHTMARE_BIBLIOGRAPHY.png,SOURCE_ACQUISITION_FILM_BIBLIOGRAPHY,SOURCE_ACQUISITION,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,bibliografische Quelle statt unlizenzierter Filmszene
V118,S7,EP08_TAKE_021,dramatische Bilder,R,IMG025_DOCUMENTARY_SCREENING_RECON.png,IMG025_DOCUMENTARY_SCREENING_RECON.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,keine Szene aus dem Film nachbauen
V119,S7,EP08_TAKE_021,dokumentiert und verbreitet,M,EDIT022_FILM_IMAGE_SPREAD,SRC_MISSING_NIGHTMARE_BIBLIOGRAPHY+IMG025,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",—,"Quellenkarte bleibt statisch, Bildwechsel per Hartschnitt"
V120,S7,EP08_TAKE_022,"Foren, Videos, Podcasts",O,SRC_MISSING_PERIOD_FORUM_CAPTURE.png,SOURCE_ACQUISITION_PERIOD_FORUM_CAPTURE,SOURCE_ACQUISITION,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_FORUM_UI,anonymisiert; reales Datum erhalten
V121,S7,EP08_TAKE_022,öffentlich und gleichzeitig,O,SRC036_SHARP_FAX_MODEM_FULL.png,EP08_Sharp_OZ9500_Fax_VT100_Modem_c1994.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_FAX_PAPER,
V122,S7,EP08_TAKE_022,jemand beschreibt ein Erlebnis,R,IMG026_FORUM_TO_IMAGE_TO_EXPECTATION.png,IMG026_FORUM_TO_IMAGE_TO_EXPECTATION.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_FORUM_UI,
V123,S7,EP08_TAKE_022,der Name verbreitet sich,O,SRC037_MODEM_FRONT_FULL.png,EP08_Sharp_OZ9500_Fax_VT100_Modem_c1994.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V124,S7,EP08_TAKE_022,Netz gibt ihm einen Namen,M,CARDS/CARD005_INTERNET_FEEDBACK.png,CARDS/CARD005_INTERNET_FEEDBACK.png,READY,5.0,STATIC_HOLD; absolutely no camera movement,—,sechs Sekunden statisch
V125,S7,EP08_TAKE_022,damals in Stunden,O,SRC038_STUDIO_CONTEXT_DETAIL.png,EP08_1996_radio_studio_context.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,
V126,S7,EP08_TAKE_022,bevor sie nachts erwacht,R,IMG027_GLOBAL_VISUAL_MEMORY.png,IMG027_GLOBAL_VISUAL_MEMORY.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V127,S7,EP08_TAKE_022,Früher über Generationen,O,SRC039_FAX_MACHINE_DETAIL.png,EP08_fax_machine.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_FAX_PAPER,
V128,S7,EP08_TAKE_023,Bilder werden von Millionen gesehen,M,CLIP004_COLLECTIVE_IMAGE_LOOP.mp4,CLIP004_COLLECTIVE_IMAGE_LOOP.mp4,READY,6.0,"NATIVE_TRANSFORMATION; no added zoom, crop or speed change",EP08_SFX_FORUM_UI,
V129,S7,EP08_TAKE_023,Vorlage steht bereit,O,SRC040_CRT_MONITOR_DETAIL.png,EP08_CRT_monitor.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V130,S7,EP08_TAKE_023,in Stunden,R,IMG028_HOURS_NOT_GENERATIONS.png,IMG028_HOURS_NOT_GENERATIONS.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V131,S7,EP08_TAKE_023,global,O,SRC041_SCHNEIDER_MONITOR_DETAIL.png,EP08_Schneider_MM12_Monochrome_Monitor.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V132,S7,EP08_TAKE_023,globales visuelles Gedächtnis,M,EDIT023_GLOBAL_NODE_REVEAL,IMG027_GLOBAL_VISUAL_MEMORY.png,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,
V133,S7,EP08_TAKE_023,jeder neue Bericht,O,SRC042_SHORTWAVE_DETAIL.png,EP08_shortwave_radio_receiver.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_SHORTWAVE_STATIC,
V134,S7,EP08_TAKE_023,"Motiv, das das Gehirn kennt",R,CUT021_IMG026_EXPECTATION_PANEL.png,IMG026_FORUM_TO_IMAGE_TO_EXPECTATION.png,READY_SEMANTIC_CUT,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V135,S7,EP08_TAKE_023,Gedächtnis wächst,R,IMG031_HAT_MAN_DISSOLVES_INTO_PIXELS.png,IMG031_HAT_MAN_DISSOLVES_INTO_PIXELS.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V136,S8,EP08_TAKE_024,drei Folgen,O,SRC043_PSG_TESTER_DETAIL.png,EP08_Polysomnography_tester.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,wissenschaftlicher Seriencallback
V137,S8,EP08_TAKE_024,verschiedene Sprachen,O,SRC044_ARTOGRAPH_1895_FULL.png,EP08_Amstutz_Electro_Artograph_1895.png,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,"historische Bild-/Aufzeichnungstechnik, nicht Schlaflabor behaupten"
V138,S8,EP08_TAKE_024,"Old Hag, Mara, Incubus",R,IMG029_THREE_EPISODE_MOTIF_TABLE.png,IMG029_THREE_EPISODE_MOTIF_TABLE.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V139,S8,EP08_TAKE_024,Neurologie,O,SRC045_RADIO_CONSOLE_WIDE.png,EP08_radio_console_microphone.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,
V140,S8,EP08_TAKE_025,realer Zustand,O,SRC046_SM7_MICROPHONE_DETAIL.png,EP08_Shure_SM7_Microphone.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,
V141,S8,EP08_TAKE_025,Formen und Namen,R,IMG030_BRAIN_EXPERIENCE_STORY_EXPECTATION_BASE.png,IMG030_BRAIN_EXPERIENCE_STORY_EXPECTATION_BASE.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V142,S8,EP08_TAKE_025,neue Masken,O,SRC047_VINTAGE_MICROPHONE_DETAIL.png,EP08_Shure_55S_vintage_mic.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,YELLOW-Lizenz prüfen
V143,S8,EP08_TAKE_025,Grey Aliens,O,SRC048_AREA51_DIAGRAM_DETAIL.png,EP08_Area51_CIA_declassified_diagram_1966.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,"Kontextcallback, keine Beweisfunktion"
V144,S8,EP08_TAKE_025,Behauptung zu grob,O,SRC049_ROSWELL_REPORTS_DETAIL.png,EP08_Roswell_US_Government_reports_1994-1997.png,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,—,Kontextcallback
V145,S8,EP08_TAKE_026,"Gehirn, Erfahrung, Geschichte, Erwartung",M,CARDS/CARD006_FINAL_LOOP.png,CARDS/CARD006_FINAL_LOOP.png,READY,5.0,STATIC_HOLD; absolutely no camera movement,—,sechs Sekunden statisch
V146,S8,EP08_TAKE_026,Geschichte verändert Erwartung,R,IMG036_TRILOGY_THRESHOLD.png,IMG036_TRILOGY_THRESHOLD.png,GENERATION_REQUIRED,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,—,
V147,S8,EP08_TAKE_027,"gelernt, sich zu verbreiten",R,CUT023_IMG031_DISSOLVE_DETAIL.png,IMG031_HAT_MAN_DISSOLVES_INTO_PIXELS.png,READY_SEMANTIC_CUT,4.7,STATIC_HOLD 0-1%; no pan or drift,—,
V148,S8,EP08_TAKE_027,Heute braucht er einen Upload,R,IMG032_FINAL_EMPTY_BEDROOM_SCREEN_GLOW.png,IMG032_FINAL_EMPTY_BEDROOM_SCREEN_GLOW.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_CRT_ROOM,
V149,S8,EP08_TAKE_027,Upload,O,SRC050_PIPPIN_MODEM_DETAIL.png,EP08_Bandai_Apple_Pippin_Modem.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_CRT_ROOM,
V150,S8,EP08_TAKE_027,nach letztem gesprochenen Satz,M,CARDS/CARD008_ENDCARD.png,CARDS/CARD008_ENDCARD.png,READY,20.0,STATIC_HOLD; absolutely no camera movement,—,20 Sekunden statisch; Endscreen-Elemente später im Studio
